	MX.01	YB03	YB08	YB13	YBO4
000622543982e76cb4ddc33f0239ed69	0.0	0.0	4.0	0.0	0.0
00425f9417dbc98fde4d359c95c31113	0.0	0.0	77.0	0.0	0.0
0063eb3e31a443281a989489a8002184	0.0	0.0	45.0	0.0	0.0
0090b6c69e484667f923767fe7babd21	0.0	0.0	0.0	40.0	0.0
00b68bbb88612984f1e9d6e3f25e0847	0.0	8.0	0.0	0.0	0.0
00d4306620fb956f4cb8ea6616da13a3	0.0	0.0	0.0	64.0	0.0
013449bd8b72c87dfe5b463fdded3986	0.0	0.0	0.0	0.0	9.0
014075c28410b91071e1b044c99b7404	0.0	0.0	37.0	0.0	0.0
01b76fbcc7ee121370edadfea1a2efdd	10.0	0.0	0.0	0.0	0.0
01dcceb52c224ff9a7703a7b5e14c286	0.0	0.0	0.0	2.0	0.0
0201c740641121af1b9e75850fe7aed4	0.0	0.0	0.0	29.0	0.0
0202d02690b13876befe4cb198a29777	0.0	0.0	0.0	221.0	161.0
021f9f6d5cea1fb4903d7e3b4db61d33	0.0	0.0	0.0	0.0	15.0
0221e271095c9669c71fa09d6e6c4cab	13.0	0.0	0.0	0.0	0.0
0227d79a0823195e064da1b952a8c734	0.0	0.0	0.0	0.0	26.0
024eb514d5731b8e9577da8282e053ed	0.0	0.0	0.0	3.0	0.0
025fee4de72b1679d24519088c59c475	0.0	0.0	0.0	2.0	0.0
026a0e8610a08acd8521f03169aac361	0.0	6.0	0.0	0.0	0.0
02c22948a2560d874c53574c91165770	0.0	0.0	0.0	0.0	17.0
02d625b122dc8b33d315c44d81ff520d	0.0	0.0	0.0	0.0	2.0
02e3dc35b1e8a4db3779cba89ea7cb1b	0.0	0.0	0.0	0.0	6.0
02e7c54d723882329811afa56eadde3e	0.0	23.0	0.0	0.0	0.0
035b340e4b2f4636d17afc3102eb6387	0.0	156.0	0.0	0.0	0.0
0366e4df5f1a6c3a194977fc521b3db4	0.0	0.0	0.0	0.0	3.0
03673ee7415ceb6aaa6d9770ae8fc5de	0.0	0.0	0.0	11.0	0.0
0371a8abf903353a2ba156555a735f83	0.0	0.0	0.0	0.0	3.0
03e145af0d7e1fdf38575502157fb66e	7.0	0.0	0.0	0.0	0.0
0429a8a999c3238e12bbfaa1714d385e	0.0	0.0	17.0	51.0	340.0
043173c2a7574efe1e69714f95f115b8	0.0	0.0	0.0	156.0	0.0
0438ae27edce785cfd7e94a45de7512f	0.0	0.0	0.0	6.0	0.0
04482ff0e0c6b52589758fb11e43ace6	0.0	379.0	0.0	0.0	0.0
04a7478a8a6db28361a7e0699ddd2239	0.0	0.0	0.0	0.0	13.0
04b6a910b69819cca613d8cd2313db57	194.0	0.0	0.0	0.0	0.0
04bfa26b3209850428c4ae09b1d4f4b8	0.0	383.0	0.0	0.0	264.0
04ecfad5772d2e09a84a0f5ef460536c	0.0	0.0	0.0	12.0	0.0
04f0fb5c4ef44c894dd62fde40f2e494	0.0	3.0	0.0	0.0	0.0
0578d5c17fc45273309ce2066f5fc987	0.0	0.0	0.0	0.0	46.0
0625da7492f18090f7e18f86a8354ba0	0.0	18.0	0.0	0.0	0.0
